,movie_id,Unnamed: 0,movie_id,director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,importent_feature
10,10,10,10,Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin,Action Adventure Sci-Fi,batman v superman: dawn of justice,batman v superman: dawn of justice Zack Snyder Henry Cavill Lauren Cohan Alan D. Purwin Action Adventure Sci-Fi
11,11,11,11,Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,Action Adventure Sci-Fi,superman returns,superman returns Bryan Singer Kevin Spacey Marlon Brando Frank Langella Action Adventure Sci-Fi
12,12,12,12,Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Action Adventure,quantum of solace,quantum of solace Marc Forster Giancarlo Giannini Mathieu Amalric Rory Kinnear Action Adventure
13,13,13,13,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy,pirates of the caribbean: dead man's chest,pirates of the caribbean: dead man's chest Gore Verbinski Johnny Depp Orlando Bloom Jack Davenport Action Adventure Fantasy
14,14,14,14,Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson,Action Adventure Western,the lone ranger,the lone ranger Gore Verbinski Johnny Depp Ruth Wilson Tom Wilkinson Action Adventure Western
15,15,15,15,Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix,Action Adventure Fantasy Sci-Fi,man of steel,man of steel Zack Snyder Henry Cavill Christopher Meloni Harry Lennix Action Adventure Fantasy Sci-Fi
16,16,16,16,Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Action Adventure Family Fantasy,the chronicles of narnia: prince caspian,the chronicles of narnia: prince caspian Andrew Adamson Peter Dinklage Pierfrancesco Favino Damián Alcázar Action Adventure Family Fantasy
17,17,17,17,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action Adventure Sci-Fi,the avengers,the avengers Joss Whedon Chris Hemsworth Robert Downey Jr. Scarlett Johansson Action Adventure Sci-Fi
18,18,18,18,Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,Action Adventure Fantasy,pirates of the caribbean: on stranger tides,pirates of the caribbean: on stranger tides Rob Marshall Johnny Depp Sam Claflin Stephen Graham Action Adventure Fantasy
19,19,19,19,Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Action Adventure Comedy Family Fantasy Sci-Fi,men in black 3,men in black 3 Barry Sonnenfeld Will Smith Michael Stuhlbarg Nicole Scherzinger Action Adventure Comedy Family Fantasy Sci-Fi
20,20,20,20,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,the hobbit: the battle of the five armies,the hobbit: the battle of the five armies Peter Jackson Aidan Turner Adam Brown James Nesbitt Adventure Fantasy
21,21,21,21,Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka,Action Adventure Fantasy,the amazing spider-man,the amazing spider-man Marc Webb Emma Stone Andrew Garfield Chris Zylka Action Adventure Fantasy
22,22,22,22,Ridley Scott,Mark Addy,William Hurt,Scott Grimes,Action Adventure Drama History,robin hood,robin hood Ridley Scott Mark Addy William Hurt Scott Grimes Action Adventure Drama History
23,23,23,23,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,the hobbit: the desolation of smaug,the hobbit: the desolation of smaug Peter Jackson Aidan Turner Adam Brown James Nesbitt Adventure Fantasy
24,24,24,24,Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas,Adventure Family Fantasy,the golden compass,the golden compass Chris Weitz Christopher Lee Eva Green Kristin Scott Thomas Adventure Family Fantasy
25,25,25,25,Peter Jackson,Naomi Watts,Thomas Kretschmann,Evan Parke,Action Adventure Drama Romance,king kong,king kong Peter Jackson Naomi Watts Thomas Kretschmann Evan Parke Action Adventure Drama Romance
26,26,26,26,James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,Drama Romance,titanic,titanic James Cameron Leonardo DiCaprio Kate Winslet Gloria Stuart Drama Romance
27,27,27,27,Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Action Adventure Sci-Fi,captain america: civil war,captain america: civil war Anthony Russo Robert Downey Jr. Scarlett Johansson Chris Evans Action Adventure Sci-Fi
28,28,28,28,Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Action Adventure Sci-Fi Thriller,battleship,battleship Peter Berg Liam Neeson Alexander Skarsgård Tadanobu Asano Action Adventure Sci-Fi Thriller
29,29,29,29,Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,Action Adventure Sci-Fi Thriller,jurassic world,jurassic world Colin Trevorrow Bryce Dallas Howard Judy Greer Omar Sy Action Adventure Sci-Fi Thriller
30,30,30,30,Sam Mendes,Albert Finney,Helen McCrory,Rory Kinnear,Action Adventure Thriller,skyfall,skyfall Sam Mendes Albert Finney Helen McCrory Rory Kinnear Action Adventure Thriller
31,31,31,31,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Fantasy Romance,spider-man 2,spider-man 2 Sam Raimi J.K. Simmons James Franco Kirsten Dunst Action Adventure Fantasy Romance
32,32,32,32,Shane Black,Robert Downey Jr.,Jon Favreau,Don Cheadle,Action Adventure Sci-Fi,iron man 3,iron man 3 Shane Black Robert Downey Jr. Jon Favreau Don Cheadle Action Adventure Sci-Fi
33,33,33,33,Tim Burton,Johnny Depp,Alan Rickman,Anne Hathaway,Adventure Family Fantasy,alice in wonderland,alice in wonderland Tim Burton Johnny Depp Alan Rickman Anne Hathaway Adventure Family Fantasy
34,34,34,34,Brett Ratner,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Action Adventure Fantasy Sci-Fi Thriller,x-men: the last stand,x-men: the last stand Brett Ratner Hugh Jackman Kelsey Grammer Daniel Cudmore Action Adventure Fantasy Sci-Fi Thriller
35,35,35,35,Dan Scanlon,Steve Buscemi,Tyler Labine,Sean Hayes,Adventure Animation Comedy Family Fantasy,monsters university,monsters university Dan Scanlon Steve Buscemi Tyler Labine Sean Hayes Adventure Animation Comedy Family Fantasy
36,36,36,36,Michael Bay,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Action Adventure Sci-Fi,transformers: revenge of the fallen,transformers: revenge of the fallen Michael Bay Glenn Morshower Kevin Dunn Ramon Rodriguez Action Adventure Sci-Fi
37,37,37,37,Michael Bay,Bingbing Li,Sophia Myles,Kelsey Grammer,Action Adventure Sci-Fi,transformers: age of extinction,transformers: age of extinction Michael Bay Bingbing Li Sophia Myles Kelsey Grammer Action Adventure Sci-Fi
38,38,38,38,Sam Raimi,Tim Holmes,Mila Kunis,James Franco,Adventure Family Fantasy,oz the great and powerful,oz the great and powerful Sam Raimi Tim Holmes Mila Kunis James Franco Adventure Family Fantasy
39,39,39,39,Marc Webb,Emma Stone,Andrew Garfield,B.J. Novak,Action Adventure Fantasy Sci-Fi,the amazing spider-man 2,the amazing spider-man 2 Marc Webb Emma Stone Andrew Garfield B.J. Novak Action Adventure Fantasy Sci-Fi
40,40,40,40,Joseph Kosinski,Jeff Bridges,Olivia Wilde,James Frain,Action Adventure Sci-Fi,tron: legacy,tron: legacy Joseph Kosinski Jeff Bridges Olivia Wilde James Frain Action Adventure Sci-Fi
41,41,41,41,John Lasseter,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,Adventure Animation Comedy Family Sport,cars 2,cars 2 John Lasseter Joe Mantegna Thomas Kretschmann Eddie Izzard Adventure Animation Comedy Family Sport
42,42,42,42,Martin Campbell,Ryan Reynolds,Temuera Morrison,Taika Waititi,Action Adventure Sci-Fi,green lantern,green lantern Martin Campbell Ryan Reynolds Temuera Morrison Taika Waititi Action Adventure Sci-Fi
43,43,43,43,Lee Unkrich,Tom Hanks,John Ratzenberger,Don Rickles,Adventure Animation Comedy Family Fantasy,toy story 3,toy story 3 Lee Unkrich Tom Hanks John Ratzenberger Don Rickles Adventure Animation Comedy Family Fantasy
44,44,44,44,McG,Christian Bale,Bryce Dallas Howard,Common,Action Adventure Sci-Fi,terminator salvation,terminator salvation McG Christian Bale Bryce Dallas Howard Common Action Adventure Sci-Fi
45,45,45,45,James Wan,Jason Statham,Paul Walker,Vin Diesel,Action Crime Thriller,furious 7,furious 7 James Wan Jason Statham Paul Walker Vin Diesel Action Crime Thriller
46,46,46,46,Marc Forster,Peter Capaldi,Brad Pitt,Mireille Enos,Action Adventure Horror Sci-Fi Thriller,world war z,world war z Marc Forster Peter Capaldi Brad Pitt Mireille Enos Action Adventure Horror Sci-Fi Thriller
47,47,47,47,Bryan Singer,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Action Adventure Fantasy Sci-Fi Thriller,x-men: days of future past,x-men: days of future past Bryan Singer Jennifer Lawrence Peter Dinklage Hugh Jackman Action Adventure Fantasy Sci-Fi Thriller
48,48,48,48,J.J. Abrams,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,Action Adventure Sci-Fi,star trek into darkness,star trek into darkness J.J. Abrams Benedict Cumberbatch Bruce Greenwood Noel Clarke Action Adventure Sci-Fi
49,49,49,49,Bryan Singer,Eddie Marsan,Ewen Bremner,Ralph Brown,Adventure Fantasy,jack the giant slayer,jack the giant slayer Bryan Singer Eddie Marsan Ewen Bremner Ralph Brown Adventure Fantasy
50,50,50,50,Baz Luhrmann,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,Drama Romance,the great gatsby,the great gatsby Baz Luhrmann Leonardo DiCaprio Elizabeth Debicki Steve Bisley Drama Romance
51,51,51,51,Mike Newell,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Action Adventure Fantasy Romance,prince of persia: the sands of time,prince of persia: the sands of time Mike Newell Jake Gyllenhaal Richard Coyle Reece Ritchie Action Adventure Fantasy Romance
52,52,52,52,Guillermo del Toro,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Action Adventure Sci-Fi,pacific rim,pacific rim Guillermo del Toro Charlie Hunnam Clifton Collins Jr. Larry Joe Campbell Action Adventure Sci-Fi
53,53,53,53,Michael Bay,Glenn Morshower,Lester Speight,Kevin Dunn,Action Adventure Sci-Fi,transformers: dark of the moon,transformers: dark of the moon Michael Bay Glenn Morshower Lester Speight Kevin Dunn Action Adventure Sci-Fi
54,54,54,54,Steven Spielberg,Harrison Ford,Ray Winstone,Jim Broadbent,Action Adventure Fantasy,indiana jones and the kingdom of the crystal skull,indiana jones and the kingdom of the crystal skull Steven Spielberg Harrison Ford Ray Winstone Jim Broadbent Action Adventure Fantasy
55,55,55,55,Peter Sohn,A.J. Buckley,Jack McGraw,Peter Sohn,Adventure Animation Comedy Family Fantasy,the good dinosaur,the good dinosaur Peter Sohn A.J. Buckley Jack McGraw Peter Sohn Adventure Animation Comedy Family Fantasy
56,56,56,56,Mark Andrews,Kelly Macdonald,John Ratzenberger,Julie Walters,Adventure Animation Comedy Family Fantasy,brave,brave Mark Andrews Kelly Macdonald John Ratzenberger Julie Walters Adventure Animation Comedy Family Fantasy
57,57,57,57,Justin Lin,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Action Adventure Sci-Fi Thriller,star trek beyond,star trek beyond Justin Lin Sofia Boutella Melissa Roxburgh Lydia Wilson Action Adventure Sci-Fi Thriller
58,58,58,58,Andrew Stanton,John Ratzenberger,Fred Willard,Jeff Garlin,Adventure Animation Family Sci-Fi,wall·e,wall·e Andrew Stanton John Ratzenberger Fred Willard Jeff Garlin Adventure Animation Family Sci-Fi
59,59,59,59,Brett Ratner,Tzi Ma,Dana Ivey,Noémie Lenoir,Action Comedy Crime Thriller,rush hour 3,rush hour 3 Brett Ratner Tzi Ma Dana Ivey Noémie Lenoir Action Comedy Crime Thriller
60,60,60,60,Roland Emmerich,Oliver Platt,Liam James,Tom McCarthy,Action Adventure Sci-Fi,2012,2012 Roland Emmerich Oliver Platt Liam James Tom McCarthy Action Adventure Sci-Fi
61,61,61,61,Robert Zemeckis,Robin Wright,Colin Firth,Gary Oldman,Animation Drama Family Fantasy,a christmas carol,a christmas carol Robert Zemeckis Robin Wright Colin Firth Gary Oldman Animation Drama Family Fantasy
62,62,62,62,Lana Wachowski,Channing Tatum,Mila Kunis,Eddie Redmayne,Action Adventure Sci-Fi,jupiter ascending,jupiter ascending Lana Wachowski Channing Tatum Mila Kunis Eddie Redmayne Action Adventure Sci-Fi
63,63,63,63,David Yates,Christoph Waltz,Alexander Skarsgård,Casper Crump,Action Adventure Drama Romance,the legend of tarzan,the legend of tarzan David Yates Christoph Waltz Alexander Skarsgård Casper Crump Action Adventure Drama Romance
64,64,64,64,Andrew Adamson,Jim Broadbent,Kiran Shah,Shane Rangi,Adventure Family Fantasy,"the chronicles of narnia: the lion, the witch and the wardrobe","the chronicles of narnia: the lion, the witch and the wardrobe Andrew Adamson Jim Broadbent Kiran Shah Shane Rangi Adventure Family Fantasy"
65,65,65,65,Bryan Singer,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Action Adventure Sci-Fi,x-men: apocalypse,x-men: apocalypse Bryan Singer Jennifer Lawrence Michael Fassbender Tye Sheridan Action Adventure Sci-Fi
66,66,66,66,Christopher Nolan,Christian Bale,Heath Ledger,Morgan Freeman,Action Crime Drama Thriller,the dark knight,the dark knight Christopher Nolan Christian Bale Heath Ledger Morgan Freeman Action Crime Drama Thriller
67,67,67,67,Pete Docter,John Ratzenberger,Delroy Lindo,Jess Harnell,Adventure Animation Comedy Family,up,up Pete Docter John Ratzenberger Delroy Lindo Jess Harnell Adventure Animation Comedy Family
68,68,68,68,Rob Letterman,Amy Poehler,Rainn Wilson,Stephen Colbert,Action Adventure Animation Comedy Family Sci-Fi,monsters vs. aliens,monsters vs. aliens Rob Letterman Amy Poehler Rainn Wilson Stephen Colbert Action Adventure Animation Comedy Family Sci-Fi
69,69,69,69,Jon Favreau,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Action Adventure Sci-Fi,iron man,iron man Jon Favreau Robert Downey Jr. Jeff Bridges Jon Favreau Action Adventure Sci-Fi
70,70,70,70,Martin Scorsese,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Adventure Drama Family Mystery,hugo,hugo Martin Scorsese Chloë Grace Moretz Christopher Lee Ray Winstone Adventure Drama Family Mystery
71,71,71,71,Barry Sonnenfeld,Will Smith,Salma Hayek,Bai Ling,Action Comedy Sci-Fi Western,wild wild west,wild wild west Barry Sonnenfeld Will Smith Salma Hayek Bai Ling Action Comedy Sci-Fi Western
72,72,72,72,Rob Cohen,Jet Li,Brendan Fraser,Russell Wong,Action Adventure Fantasy Horror Thriller,the mummy: tomb of the dragon emperor,the mummy: tomb of the dragon emperor Rob Cohen Jet Li Brendan Fraser Russell Wong Action Adventure Fantasy Horror Thriller
73,73,73,73,David Ayer,Will Smith,Robin Atkin Downes,Ike Barinholtz,Action Adventure Comedy Sci-Fi,suicide squad,suicide squad David Ayer Will Smith Robin Atkin Downes Ike Barinholtz Action Adventure Comedy Sci-Fi
74,74,74,74,Tom Shadyac,Jimmy Bennett,Morgan Freeman,Steve Carell,Comedy Family Fantasy,evan almighty,evan almighty Tom Shadyac Jimmy Bennett Morgan Freeman Steve Carell Comedy Family Fantasy
75,75,75,75,Doug Liman,Tom Cruise,Lara Pulver,Noah Taylor,Action Adventure Sci-Fi,edge of tomorrow,edge of tomorrow Doug Liman Tom Cruise Lara Pulver Noah Taylor Action Adventure Sci-Fi
76,76,76,76,Kevin Reynolds,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Action Adventure Sci-Fi Thriller,waterworld,waterworld Kevin Reynolds Jeanne Tripplehorn Rick Aviles Zakes Mokae Action Adventure Sci-Fi Thriller
77,77,77,77,Stephen Sommers,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Action Adventure Sci-Fi Thriller,g.i. joe: the rise of cobra,g.i. joe: the rise of cobra Stephen Sommers Joseph Gordon-Levitt Dennis Quaid Leo Howard Action Adventure Sci-Fi Thriller
78,78,78,78,Pete Docter,Amy Poehler,Mindy Kaling,Phyllis Smith,Adventure Animation Comedy Drama Family Fantasy,inside out,inside out Pete Docter Amy Poehler Mindy Kaling Phyllis Smith Adventure Animation Comedy Drama Family Fantasy
79,79,79,79,Jon Favreau,Scarlett Johansson,Bill Murray,Garry Shandling,Adventure Drama Family Fantasy,the jungle book,the jungle book Jon Favreau Scarlett Johansson Bill Murray Garry Shandling Adventure Drama Family Fantasy
80,80,80,80,Jon Favreau,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Action Adventure Sci-Fi,iron man 2,iron man 2 Jon Favreau Robert Downey Jr. Scarlett Johansson Jon Favreau Action Adventure Sci-Fi
81,81,81,81,Rupert Sanders,Chris Hemsworth,Kristen Stewart,Sam Claflin,Action Adventure Drama Fantasy,snow white and the huntsman,snow white and the huntsman Rupert Sanders Chris Hemsworth Kristen Stewart Sam Claflin Action Adventure Drama Fantasy
82,82,82,82,Robert Stromberg,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Action Adventure Family Fantasy Romance,maleficent,maleficent Robert Stromberg Angelina Jolie Pitt Sharlto Copley Sam Riley Action Adventure Family Fantasy Romance
83,83,83,83,Matt Reeves,Gary Oldman,Judy Greer,Kodi Smit-McPhee,Action Adventure Drama Sci-Fi,dawn of the planet of the apes,dawn of the planet of the apes Matt Reeves Gary Oldman Judy Greer Kodi Smit-McPhee Action Adventure Drama Sci-Fi
84,84,84,84,Roland Joffé,Tamsin Egerton,Alice Englert,Bipasha Basu,Action Adventure Romance Sci-Fi,the lovers,the lovers Roland Joffé Tamsin Egerton Alice Englert Bipasha Basu Action Adventure Romance Sci-Fi
85,85,85,85,Carl Rinsch,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Action Adventure Drama Fantasy,47 ronin,47 ronin Carl Rinsch Keanu Reeves Cary-Hiroyuki Tagawa Jin Akanishi Action Adventure Drama Fantasy
86,86,86,86,Anthony Russo,Scarlett Johansson,Chris Evans,Hayley Atwell,Action Adventure Sci-Fi,captain america: the winter soldier,captain america: the winter soldier Anthony Russo Scarlett Johansson Chris Evans Hayley Atwell Action Adventure Sci-Fi
87,87,87,87,Mike Mitchell,Jon Hamm,Kathy Griffin,Mary Kay Place,Adventure Animation Comedy Family Fantasy,shrek forever after,shrek forever after Mike Mitchell Jon Hamm Kathy Griffin Mary Kay Place Adventure Animation Comedy Family Fantasy
88,88,88,88,Brad Bird,Judy Greer,Chris Bauer,Thomas Robinson,Action Adventure Family Mystery Sci-Fi,tomorrowland,tomorrowland Brad Bird Judy Greer Chris Bauer Thomas Robinson Action Adventure Family Mystery Sci-Fi
89,89,89,89,Don Hall,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Action Adventure Animation Comedy Drama Family Sci-Fi,big hero 6,big hero 6 Don Hall Damon Wayans Jr. Daniel Henney Abraham Benrubi Action Adventure Animation Comedy Drama Family Sci-Fi
90,90,90,90,Rich Moore,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Adventure Animation Comedy Family Sci-Fi,wreck-it ralph,wreck-it ralph Rich Moore Jack McBrayer Sarah Silverman Joe Lo Truglio Adventure Animation Comedy Family Sci-Fi
91,91,91,91,Robert Zemeckis,Tom Hanks,Eddie Deezen,Peter Scolari,Adventure Animation Family Fantasy,the polar express,the polar express Robert Zemeckis Tom Hanks Eddie Deezen Peter Scolari Adventure Animation Family Fantasy
92,92,92,92,Roland Emmerich,Vivica A. Fox,Sela Ward,Judd Hirsch,Action Adventure Sci-Fi,independence day: resurgence,independence day: resurgence Roland Emmerich Vivica A. Fox Sela Ward Judd Hirsch Action Adventure Sci-Fi
93,93,93,93,Dean DeBlois,Gerard Butler,America Ferrera,Craig Ferguson,Adventure Animation Family Fantasy,how to train your dragon,how to train your dragon Dean DeBlois Gerard Butler America Ferrera Craig Ferguson Adventure Animation Family Fantasy
94,94,94,94,Jonathan Mostow,Nick Stahl,M.C. Gainey,Carolyn Hennesy,Action Sci-Fi,terminator 3: rise of the machines,terminator 3: rise of the machines Jonathan Mostow Nick Stahl M.C. Gainey Carolyn Hennesy Action Sci-Fi
95,95,95,95,James Gunn,Bradley Cooper,Vin Diesel,Djimon Hounsou,Action Adventure Sci-Fi,guardians of the galaxy,guardians of the galaxy James Gunn Bradley Cooper Vin Diesel Djimon Hounsou Action Adventure Sci-Fi
96,96,96,96,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Adventure Drama Sci-Fi,interstellar,interstellar Christopher Nolan Matthew McConaughey Anne Hathaway Mackenzie Foy Adventure Drama Sci-Fi
97,97,97,97,Christopher Nolan,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Action Adventure Sci-Fi Thriller,inception,inception Christopher Nolan Leonardo DiCaprio Tom Hardy Joseph Gordon-Levitt Action Adventure Sci-Fi Thriller
98,98,98,98,Hideaki Anno,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,Action Adventure Drama Horror Sci-Fi,godzilla resurgence,godzilla resurgence Hideaki Anno Mark Chinnery Shin'ya Tsukamoto Atsuko Maeda Action Adventure Drama Horror Sci-Fi
99,99,99,99,Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,Adventure Fantasy,the hobbit: an unexpected journey,the hobbit: an unexpected journey Peter Jackson Aidan Turner Adam Brown James Nesbitt Adventure Fantasy
100,100,100,100,Rob Cohen,Paul Walker,Vin Diesel,Jordana Brewster,Action Crime Thriller,the fast and the furious,the fast and the furious Rob Cohen Paul Walker Vin Diesel Jordana Brewster Action Crime Thriller
101,101,101,101,David Fincher,Brad Pitt,Jason Flemyng,Julia Ormond,Drama Fantasy Romance,the curious case of benjamin button,the curious case of benjamin button David Fincher Brad Pitt Jason Flemyng Julia Ormond Drama Fantasy Romance
102,102,102,102,Matthew Vaughn,Jennifer Lawrence,Michael Fassbender,Oliver Platt,Action Adventure Sci-Fi,x-men: first class,x-men: first class Matthew Vaughn Jennifer Lawrence Michael Fassbender Oliver Platt Action Adventure Sci-Fi
103,103,103,103,Francis Lawrence,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Adventure Sci-Fi,the hunger games: mockingjay - part 2,the hunger games: mockingjay - part 2 Francis Lawrence Jennifer Lawrence Philip Seymour Hoffman Josh Hutcherson Adventure Sci-Fi
104,104,104,104,Jon Turteltaub,Nicolas Cage,Omar Benson Miller,Robert Capron,Action Adventure Family Fantasy,the sorcerer's apprentice,the sorcerer's apprentice Jon Turteltaub Nicolas Cage Omar Benson Miller Robert Capron Action Adventure Family Fantasy
105,105,105,105,Wolfgang Petersen,Jimmy Bennett,Mike Vogel,Andre Braugher,Action Adventure Drama Thriller,poseidon,poseidon Wolfgang Petersen Jimmy Bennett Mike Vogel Andre Braugher Action Adventure Drama Thriller
106,106,106,106,James Bobin,Johnny Depp,Alan Rickman,Anne Hathaway,Adventure Family Fantasy,alice through the looking glass,alice through the looking glass James Bobin Johnny Depp Alan Rickman Anne Hathaway Adventure Family Fantasy
107,107,107,107,Chris Miller,Justin Timberlake,Eric Idle,Rupert Everett,Adventure Animation Comedy Family Fantasy,shrek the third,shrek the third Chris Miller Justin Timberlake Eric Idle Rupert Everett Adventure Animation Comedy Family Fantasy
108,108,108,108,Duncan Jones,Dominic Cooper,Callum Rennie,Ruth Negga,Action Adventure Fantasy,warcraft,warcraft Duncan Jones Dominic Cooper Callum Rennie Ruth Negga Action Adventure Fantasy
109,109,109,109,Alan Taylor,J.K. Simmons,Emilia Clarke,Matt Smith,Action Adventure Sci-Fi,terminator genisys,terminator genisys Alan Taylor J.K. Simmons Emilia Clarke Matt Smith Action Adventure Sci-Fi
110,110,110,110,Michael Apted,Bruce Spence,Shane Rangi,Laura Brent,Adventure Family Fantasy,the chronicles of narnia: the voyage of the dawn treader,the chronicles of narnia: the voyage of the dawn treader Michael Apted Bruce Spence Shane Rangi Laura Brent Adventure Family Fantasy
111,111,111,111,Michael Bay,Jennifer Garner,Jaime King,Mako,Action Drama History Romance War,pearl harbor,pearl harbor Michael Bay Jennifer Garner Jaime King Mako Action Drama History Romance War
112,112,112,112,Michael Bay,Zack Ward,Michael O'Neill,Kevin Dunn,Action Adventure Sci-Fi,transformers,transformers Michael Bay Zack Ward Michael O'Neill Kevin Dunn Action Adventure Sci-Fi
113,113,113,113,Oliver Stone,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Action Adventure Biography Drama History Romance War,alexander,alexander Oliver Stone Anthony Hopkins Angelina Jolie Pitt Brian Blessed Action Adventure Biography Drama History Romance War
114,114,114,114,David Yates,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,Adventure Family Fantasy Mystery,harry potter and the order of the phoenix,harry potter and the order of the phoenix David Yates Robert Pattinson Daniel Radcliffe Fiona Shaw Adventure Family Fantasy Mystery
115,115,115,115,Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery,harry potter and the goblet of fire,harry potter and the goblet of fire Mike Newell Robert Pattinson Daniel Radcliffe Rupert Grint Adventure Family Fantasy Mystery
116,116,116,116,Peter Berg,Will Smith,Charlize Theron,Eddie Marsan,Action Drama,hancock,hancock Peter Berg Will Smith Charlize Theron Eddie Marsan Action Drama
117,117,117,117,Francis Lawrence,Will Smith,Alice Braga,Willow Smith,Drama Horror Sci-Fi,i am legend,i am legend Francis Lawrence Will Smith Alice Braga Willow Smith Drama Horror Sci-Fi
